Places_name	Places_type	Places_city	Places_reference	Budget	timing
Mir Usman Ali Khan Parda Park & Mini Zoo	Park / Family	Karachi	https://maps.app.goo.gl/w1vV5QVkzERtsc1G6	Low	Evening
Aziz Bhatti Park	Park / Recreation	Karachi	https://maps.app.goo.gl/anhNUdnV1FSqUj7t5	Low	Evening
Quaid e Azam House Museum	Historical / Museum	Karachi	https://maps.app.goo.gl/FKjN3FjQMcv6Apur6	Low	Morning 
Jahangir Park	Park / Recreation	Karachi	https://maps.app.goo.gl/WnD4aAfjsMnaaU6H9	Low	Evening
Jehangir Kothari Parade	Historical / Architectural	Karachi	https://maps.app.goo.gl/WXVuUkLpGQ1t8vd9A	Low	Evening
Dolmen Mall Tariq Road	Amusement / Family Fun	Karachi	https://maps.app.goo.gl/izVEpLMbr9d1oCxq8	Low	All-day
Turtle Beach Karachi	Beach / Adventure	Karachi	https://maps.app.goo.gl/PxRpwb1hzCn8iEPM9	High	All-day
Chaukhandi Tombs	Historical / Archaeological	Karachi	https://maps.app.goo.gl/79oSR6T8F5jrwHcv5	Low	Morning
Destination Beach	Beach / Leisure	Karachi	https://maps.app.goo.gl/3K5T9oENcHLx2Ut38	Low	All-day
Chaar Minar Chowrangi	Monument / Landmark	Karachi	https://maps.app.goo.gl/wNwHG43hWs975evYA	Low	Night
Karachi Harbor Viewpoint	Scenic / Waterfront	Karachi	https://maps.app.goo.gl/QSEkQCwWYgPvXzwLA	Low	Evening
Karachi Zoo Park	Zoo / Family Recreation	Karachi	https://maps.app.goo.gl/fF5APCf9MmeL2nsaA	Low	Afternoon
Tooba Masjid	Religious / Architectural	Karachi	https://maps.app.goo.gl/T1BheSVRZGDqrwE49	Low	Morning 
Kea Kruise Boating Area (Port Grand)	Boating / Waterfront	Karachi	https://maps.app.goo.gl/B62McUDrNDBnRZBL9	Moderate	Evening
Hill view of north karachi	Scenic / Hill View	Karachi	https://maps.app.goo.gl/gB8XtaSSKUKRvJG4A	Low	Evening
Merewether Clock Tower	Historical / Monument	Karachi	https://maps.app.goo.gl/FE5szDASExNqKg3U6	Low	Morning
Beach View Park	Park / Seaside Recreation	Karachi	https://maps.app.goo.gl/aJ4DxKj4JJy6j4YXA	Low	Evening 
Jabees Funland	Amusement / Family Park	Karachi	https://maps.app.goo.gl/jA5NBPRg1yntaddx5	Moderate	Evening
Place of Chilla (Hazrat Abdullah Shah Ghazi)	Religious / Spiritual	Karachi	https://maps.app.goo.gl/Wm6oT1KtNrjR7SWXA	Low	Afternoon 
PNS Himalaya's Beach Hut	Beach / Private Leisure	Karachi	https://maps.app.goo.gl/TXuckCF78tdjF2GH6	High	All-day
Zamzama Park	Park / Family Recreation	Karachi	https://maps.app.goo.gl/yVsP3eaZPSxhpJM46	Low	Morning 
St. Patrick's Cathedral	Religious / Historical	Karachi	https://maps.app.goo.gl/GVmMuYUvxfjvFdJL8	Low	Morning 
SAPT Oyster Rocks	Waterfront / Scenic	Karachi	https://maps.app.goo.gl/AHYDX74Auq3dSjt36	Low	Evening
Manora Beach view Point	Beach / Scenic	Karachi	https://maps.app.goo.gl/9EkCqs4kSbtKRWk4A	Low	All-day
Shaheed Benazir Bhutto Park	Park / Garden	Karachi	https://maps.app.goo.gl/c3qReLEjvDpAv47p9	Low	Evening
People's Square	Public Space / Cultural	Karachi	https://maps.app.goo.gl/BLsEmdTbba2AC2Sq5	Low	Evening
State Bank Museum & Art Gallery	Museum / Art	Karachi	https://maps.app.goo.gl/NASXwy6zQ4Y9kTeFA	Low	Morning 
Jheel Park	Park / Family Recreation	Karachi	https://maps.app.goo.gl/DQsLUw3BiRXZmkAa8	Low	Evening
Burns Gardens Karachi	Park / Historical	Karachi	https://maps.app.goo.gl/s2eco8YrfFS14G4M6	Low	Morning 
Zeeshan Haider Shaeed Park	Park / Memorial	Karachi	https://maps.app.goo.gl/aVh65YvNFFxmVuy86	Low	Evening
Jamia Masjid New Town	Religious / Mosque	Karachi	https://maps.app.goo.gl/aVh65YvNFFxmVuy86	Low	All-day
The Ocean Mall	Shopping/Commercial	Karachi	https://maps.app.goo.gl/dzSaWFdmkwU8141E6	Low	Afternoon 
LuckyOne Mall	Shopping/Commercial	Karachi	https://maps.app.goo.gl/D6wDYM1k5rs2GeMcA	Low	Afternoon 
Millennium Mall	Shopping/Commercial	Karachi	https://maps.app.goo.gl/gmTQTBcpwLY5jXVd7	Low	Afternoon
China Port Karachi Oyster Rocks	Adventure/Natural	Karachi	https://maps.app.goo.gl/ZKhEVZs8zZs6diqU8	Low	Evening
Karachi Port	Industrial/Port	Karachi	https://maps.app.goo.gl/f7exqDa7xttrHLTr7	Low	Morning
Sri Swaminarayan Temple	Religious/Hindu Temple	Karachi	https://maps.app.goo.gl/grrquKZfk32NcPBRA	Low	All-day
Shree Punch Mukhi Hanuman Mandir	Religious/Hindu Temple	Karachi	https://maps.app.goo.gl/5tVBRdHNUuVuAZ4j8	Low	Morning 
Shree Ratneswar Mahadev Mandir	Religious/Hindu Temple	Karachi	https://maps.app.goo.gl/eLBaCyLTiTQzej2P6	Low	Evening
Shiva Ram Mandir	Religious/Hindu Temple	Karachi	https://maps.app.goo.gl/E3VTUT9eGwbKAdr26	Low	All-day
Grand Jamia Masjid	Religious/Mosque	Karachi	https://maps.app.goo.gl/Ah3sP1jmGkKGQ29S6	Low	Afternoon 
Shrine Hazrat Syed Abdullah Shah Ghazi	Religious/Shrine	Karachi	https://maps.app.goo.gl/LQxpmQteYWAyJHfy8	Low	Evening
Bolton Market	Market/Commercial	Karachi	https://maps.app.goo.gl/1TTPtqEUd8rU23XZ7	Low	Afternoon
Chirpy Birds Park - BTK	Adventure/Natural	Karachi	https://maps.app.goo.gl/o8oVE7zK396u5Vwg7	Low	Morning
Bahria Dancing Fountain	Adventure/Natural	Karachi	https://maps.app.goo.gl/EVAYiY2uDMzKn8oCA	Low	Night
Carnival Water Fall	Adventure/Natural	Karachi	https://maps.app.goo.gl/UoQM68gtzWiyrh6X9	Low	Evening
Arena - Family Recreational & Sports Complex	Recreational/Sports Complex	Karachi	https://maps.app.goo.gl/s7VmQ5e49345D8x37	Moderate	Afternoon 
Wild Venture Water Park and Resort Gadap Karachi	Adventure/Water Park	Karachi	https://maps.app.goo.gl/Ew3vaLaWq7Ec1pHR6	Moderate	All-day
Picnic World Water Park	Adventure/Water Park	Karachi	https://maps.app.goo.gl/cgZU3X4jozVr48f68	Moderate	All-day
Cosy Water Park	Adventure/Water Park	Karachi	https://maps.app.goo.gl/vgf1UcdbGTi5HE3h8	Moderate	All-day
The Great Fiesta	Adventure/Water Park	Karachi	https://maps.app.goo.gl/Q9aQbxgMtqDbSh2Q9	Moderate	All-day
Al Mehran Water Park	Adventure/Water Park	Karachi	https://maps.app.goo.gl/R8bjHfazEqVD4sNH9	Moderate	All-day
Paradise Island Water Park Gharo	Adventure/Water Park	Karachi	https://maps.app.goo.gl/utANmdLRRgUAyRNr6	Moderate	All-day
Omni Karting Circuit	Adventure/Sports	Karachi	https://maps.app.goo.gl/hPhU2eL7vtYsWbgh8	High	Night
Zainab Market	Market/Commercial	Karachi	https://maps.app.goo.gl/aoU2q3t7cCrmH7Ud9	Low	All-day
Cafe Aylanto	Restaurant	Karachi	https://maps.app.goo.gl/H1t96kra6TebyBBZA	High	MainMeals
Cafe Hawaii	Restaurant	Karachi	https://maps.app.goo.gl/nYP67pcDRgD1xhcv8	Low	MainMeals
Cafe Little Karachi	Restaurant	Karachi	https://maps.app.goo.gl/UNvYSUaQZ1esNk7h8	Moderate	Brunch
Springs Cafe	Restaurant	Karachi	https://maps.app.goo.gl/1rxwaZbDA6m1GkUo7	High	Brunch
Big Tree House	Restaurant	Karachi	https://maps.app.goo.gl/YCsqM9LbJkUVukUa8	Low	Dinner
Karachi Brasserie	Restaurant	Karachi	https://maps.app.goo.gl/WtgVi48yqUREgZnG8	High	MainMeals
Xander's	Restaurant	Karachi	https://maps.app.goo.gl/zTd1y5zPFXnb88Tn7	Moderate	Brunch
New York Coffee	Restaurant	Karachi	https://maps.app.goo.gl/BW6ntvvkdYTcMrou5	High	Brunch
Xander's Clifton	Restaurant	Karachi	https://maps.app.goo.gl/1d9U5ibkyqcMZj5m8	High	Brunch
Cafe Ignite	Restaurant	Karachi	https://maps.app.goo.gl/KHG93iC5GkgT5i1r7	Moderate	MainMeals
CaffÃƒÆ’Ã‚Â© Praha	Restaurant	Karachi	https://maps.app.goo.gl/6x4Cf5aDWRhRtuUU7	High	Brunch
Nadia Cafe	Restaurant	Karachi	https://maps.app.goo.gl/4aLTX23Gv8yFvros7	High	Meals
Cafe Ammos	Restaurant	Karachi	https://maps.app.goo.gl/t6rUtxpv1CzU1bcFA	Low	MainMeals
Cafe Bogie	Restaurant	Karachi	https://maps.app.goo.gl/RgUFVWLNb3VdDrN2A	High	MainMeals
Cafe Flo	Restaurant	Karachi	https://maps.app.goo.gl/BCPEKQPLEfXKJEZ6A	High	MainMeals
Vintage Cafe	Restaurant	Karachi	https://maps.app.goo.gl/z5kN1Ne5Av6zhrYt8	Moderate	MainMeals
Zeytin	Restaurant	Karachi	https://maps.app.goo.gl/YvGJxp1sThNt9mie8	High	Dinner
The MarvelUS Cafe	Restaurant	Karachi	https://maps.app.goo.gl/9ZRxS4T97jnz2NY38	Moderate	Brunch
Koyla Chai	Restaurant	Karachi	https://maps.app.goo.gl/xyDTqAefXWtd3VwZ6	Moderate	Dinner
Cafe Piyala	Restaurant	Karachi	https://maps.app.goo.gl/FhggCTbnXFtypABX6	Low	FullDay
Terraza	Restaurant	Karachi	https://maps.app.goo.gl/bXvLgXKJXd4LPm3G7	Low	MainMeals
Gloria Jean's Coffees SMCHS	Restaurant	Karachi	https://maps.app.goo.gl/rDLvDb1gWotk6oz86	Moderate	Brunch
Coconut Grove	Restaurant	Karachi	https://maps.app.goo.gl/W4YiGYEvhrR9SN5u6	High	MainMeals
Yum By Amna Cafe	Restaurant	Karachi	https://maps.app.goo.gl/nbBYHGaZgF8HwnA89	Low	Brunch
Kababjees Shaheed-e-Millat Branch	Restaurant	Karachi	https://maps.app.goo.gl/N7rNmjWpeeDKYYHk9	Moderate	Meals
Noor Cafe & Grill	Restaurant	Karachi	https://maps.app.goo.gl/KjgmLbFqqRcBAS6T7	High	MainMeals
CAFE Karachi Buffer Zone	Restaurant	Karachi	https://maps.app.goo.gl/vBNwfqznqKdTEKsTA	Low	Dinner
The Owl's Nest Play Cafe	Restaurant	Karachi	https://maps.app.goo.gl/zQLgVrZxscZnnqa78	High	MainMeals
E Street Mews Cafe	Restaurant	Karachi	https://maps.app.goo.gl/STTX1obuUgWZB4737	Low	MainMeals
Bon Appetit Cafe	Restaurant	Karachi	https://maps.app.goo.gl/UJjhPgFqgddhWwLj7	Moderate	Dinner
The Costa Cafe	Restaurant	Karachi	https://maps.app.goo.gl/QrvBi95J5A5zVJqn7	High	MainMeals
Cafe Strada	Restaurant	Karachi	https://maps.app.goo.gl/ynQS2sKN55BpTu4v5	Moderate	Dinner 
Mandi House	Restaurant	Karachi	https://maps.app.goo.gl/A8ahAApcUv2PPMyF7	Low	Meals
Cafe Chatterbox	Restaurant	Karachi	https://maps.app.goo.gl/uyaXGNam134HftvD6	Low	Dinner
The Dera Restaurant & Cafe	Restaurant	Karachi	https://maps.app.goo.gl/CbEreazxCN1rdoFy7	High	Breakfast 
Cafe My Karachi	Restaurant	Karachi	https://maps.app.goo.gl/9nA1S8uoL7PrY52y6	High	Dinner
Cafe Heights	Restaurant	Karachi	https://maps.app.goo.gl/enRUHw2FRKtXCEKE9	Low	Lunch 
Cafe E Street	Restaurant	Karachi	https://maps.app.goo.gl/73zojt7QQLZpcmN9A	Moderate	Dinner
Boss Cafe	Restaurant	Karachi	https://maps.app.goo.gl/wtpCiXaFd7C1QbKd8	Low	Dinner
Cafe Laziz Burns Road	Restaurant	Karachi	https://maps.app.goo.gl/QJYqiFSbyMtuwLDG6	Moderate	MainMeals
BYSTRO CAFE	Restaurant	Karachi	https://maps.app.goo.gl/KSoQQem6ypx5zy9g8	High	Brunch
Noorani Kabab House. Karachi	Restaurant	Karachi	https://maps.app.goo.gl/juFqxRUNvZmEGk2U8	Low	MainMeals
Alaska Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/SeVVvgKdR73TJhHVA	Moderate	Brunch
Saltanat Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/czvT6EzBzPh4k8df8	Moderate	Dinner
Cafe Time Square	Restaurant	Karachi	https://maps.app.goo.gl/gfg6S84rC4GCsNBN8	Low	MainMeals
LalQila Restaurant Karachi	Restaurant	Karachi	https://maps.app.goo.gl/tJQ8sfX3tpgH5f1s7	Moderate	MainMeals
Cocochan - Tipu Sultan	Restaurant	Karachi	https://maps.app.goo.gl/6ygFpDGyjbFfD8Jk7	Low	MainMeals
Theatre - Live Bakery & Cafe	Restaurant	Karachi	https://maps.app.goo.gl/thJf2QWuiU8UdGVF8	Low	Breakfast
New Zahid Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/k9s4AvyL7TMh6eHr8	Low	MainMeals
Cafe Darakhshan	Restaurant	Karachi	https://maps.app.goo.gl/F9jY8xSHa1BWaxWJ9	Moderate	MainMeals
Pranzo	Restaurant	Karachi	https://maps.app.goo.gl/9rBAQZ88ERxB2bEo8	Moderate	MainMeals
Javed Nihari	Restaurant	Karachi	https://maps.app.goo.gl/c8XLRriRBFfSPCB6A	High	Meals
Cafe Mantra	Restaurant	Karachi	https://maps.app.goo.gl/iTspE9PbvfRzVEbx9	Low	Dinner
The Majestic Cafe	Restaurant	Karachi	https://maps.app.goo.gl/2618D59LRytiQKj16	Low	MainMeals
Cafe Bites	Restaurant	Karachi	https://maps.app.goo.gl/ryYsBxxudtHFso7w8	Low	Lunch
Shaikh Abdul Ghaffar Kabab House	Restaurant	Karachi	https://maps.app.goo.gl/C2qbyig6fG8MJ9Lv5	Low	Dinner
DRUNCH	Restaurant	Karachi	https://maps.app.goo.gl/TsQVhNU8VZ5Doqxk6	Moderate	MainMeals
Harmain Sharfain Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/VmEM33UxgLq125kN6	High	MainMeals
Mandi House	Restaurant	Karachi	https://maps.app.goo.gl/JrNCoWQXAYfFNqWu6	Low	MainMeals
Chillee'z Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/d4HxQ6DY1mEA6yVe7	Moderate	MainMeals
Boat Basin	Restaurant	Karachi	https://maps.app.goo.gl/bVhFpScDUBTAwaj79	Moderate	Dinner
Tooso - Since 1976	Restaurant	Karachi	https://maps.app.goo.gl/fETHVMTZ2JvzYDKC6	Low	Meals
Mr. Shezi Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/xre9hbT5SbG2v5Ub7	Moderate	MainMeals
BULAND - PAK CUISINE	Restaurant	Karachi	https://maps.app.goo.gl/tNpfmeoPH4z1xpHp8	Moderate	MainMeals
4T9 Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/xfBX6PntjaxVpVHM6	Moderate	MainMeals
Chef's Table Pakistan	Restaurant	Karachi	https://maps.app.goo.gl/f69MvbdVutoABkCF8	Low	Dinner
Kolachi Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/ir8jE5RQsGifVrZh6	Moderate	Dinner
Lotus Court	Restaurant	Karachi	https://maps.app.goo.gl/PXg2E4F6YUpm4KZL7	Moderate	MainMeals
Dynasty	Restaurant	Karachi	https://maps.app.goo.gl/7QJXcxCkRRPPkTg78	Moderate	MainMeals
Royal Ice & Spice	Restaurant	Karachi	https://maps.app.goo.gl/91iLhaVjBxbZ8pvy5	Low	Dinner 
Spicy Khan Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/4PdkMwxWQ4LtP5r66	Low	MainMeals
SALT CAFE	Restaurant	Karachi	https://maps.app.goo.gl/CyNtoCe2EApEGsQH7	Low	Dinner
Rajdhani Delights	Restaurant	Karachi	https://maps.app.goo.gl/cLHinHwzTdBVRWGg8	Moderate	MainMeals
Daily Dubai Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/WdVxW3xtQ9c3MBad7	Low	MainMeals
Mirchili Tariq Road Branch	Restaurant	Karachi	https://maps.app.goo.gl/KwxkjDYMW967ANmf9	Low	Lunch
China Castle	Restaurant	Karachi	https://maps.app.goo.gl/2Ufnh8vgCSiPHnmu6	Low	MainMeals
Shanghai Social	Restaurant	Karachi	https://maps.app.goo.gl/bABKvSyJkSU7LKsC8	High	MainMeals
75 Degrees Hot	Restaurant	Karachi	https://maps.app.goo.gl/viBh7GuTnFWK58am6	Moderate	MainMeals
usmania restaurant	Restaurant	Karachi	https://maps.app.goo.gl/hT9o9KkjYcked7dj6	Low	MainMeals
Mizaaj	Restaurant	Karachi	https://maps.app.goo.gl/KAeJotbgMds5bXGZ8	Low	MainMeals
Bella Vita - Tipu Sultan	Restaurant	Karachi	https://maps.app.goo.gl/23uzp9D6KW2r7q877	Low	Meals
Okra Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/8R9JVoNi5HYiUqvX6	Moderate	MainMeals
Miraal	Restaurant	Karachi	https://maps.app.goo.gl/v3z3zWgsMJbBnfHaA	High	Dinner
Angeethi - Tipu Sultan Rd	Restaurant	Karachi	https://maps.app.goo.gl/unyPxTGTxD2zFjCw8	High	Dinner
Balochistan Sajji	Restaurant	Karachi	https://maps.app.goo.gl/cjZx8u72GRUxPxoFA	Low	Dinner
Caesar's Pizza Gulistan-e-Johar	Restaurant	Karachi	https://maps.app.goo.gl/nC7FtRxcbij9gn1c6	Low	MainMeals
Su Jing Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/erqs1embyN6kp1SS6	Low	MainMeals
Red Apple	Restaurant	Karachi	https://maps.app.goo.gl/8Ks53S7Mp5mJvuibA	Low	MainMeals
Baithak Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/vivQR6RPpLoxVJBm9	High	Dinner
Street Sizzles	Restaurant	Karachi	https://maps.app.goo.gl/u3MEpmz7yk7wYrvn6	Moderate	MainMeals
Chai Lounge Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/35UfkPGyg1ZPWqEN6	Moderate	Dinner 
Steamy bites	Restaurant	Karachi	https://maps.app.goo.gl/CcWusu5jmE5h5D8B7	Moderate	Dinner 
Mehak Fast Food Bahadurabad	Restaurant	Karachi	https://maps.app.goo.gl/RjCssFh1iwdTMbWF9	High	Dinner 
Broadway Pizza - Bahdurabad	Restaurant	Karachi	https://maps.app.goo.gl/RXuniG9Mjhpc7oXK9	Low	MainMeals
PIZZERIA Bahadurabad	Restaurant	Karachi	https://maps.app.goo.gl/13LAwW8dRvuADZfX7	High	MainMeals
Redapple Sharfabad	Restaurant	Karachi	https://maps.app.goo.gl/RPBxKthkjMy9CHem9	Moderate	MainMeals
OPTP Bahadurabad	Restaurant	Karachi	https://maps.app.goo.gl/bivBeLkcW7Vec4k27	Moderate	MainMeals
Oh My Grill - Bahadurabad.	Restaurant	Karachi	https://maps.app.goo.gl/gsmhDzLv9GuoKVzh8	Low	MainMeals
California Pizza - Bahadurabad	Restaurant	Karachi	https://maps.app.goo.gl/V37tgaVi8tzF6kXP8	Moderate	MainMeals
The Dumpling House	Restaurant	Karachi	https://maps.app.goo.gl/2bhUwuLhzVKPPKqH9	Moderate	Dinner
Sizzle Snax Cafe	Restaurant	Karachi	https://maps.app.goo.gl/tiRwrAT2DQdLeKPHA	Low	MainMeals
Panwaari Bahadurabad	Restaurant	Karachi	https://maps.app.goo.gl/VdkQ9xi4EQCWPgXa7	Moderate	FullDay
Mirchili @ Clifton	Restaurant	Karachi	https://maps.app.goo.gl/81scrPu6ABzje95fA	High	MainMeals
The Patio - Contemporary Fusion Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/LDpNV4U8cC4uvq5HA	Moderate	MainMeals
Jan Jee's Broast Garden Branch	Restaurant	Karachi	https://maps.app.goo.gl/HdoEn3LXrdSCr8CZ6	Moderate	MainMeals
Hussainabad Food Street	Restaurant	Karachi	https://maps.app.goo.gl/x21zUBbxLbHXSdJp7	Low	Dinner 
Kharadar food street	Restaurant	Karachi	https://maps.app.goo.gl/96yARxMoSu1jgS5e9	Low	FullDay
Burns Road Food Street	Restaurant	Karachi	https://maps.app.goo.gl/vqe2aCZ6JoxSMp9DA	Moderate	Dinner 
DHA Food Street	Restaurant	Karachi	https://maps.app.goo.gl/8dXEwfwU3A8fCkUa7	Moderate	FullDay
Creek Walk Food Street	Restaurant	Karachi	https://maps.app.goo.gl/XKc1rJmtvUVzYGRK6	High	Dinner
Sharafabad food street	Restaurant	Karachi	https://maps.app.goo.gl/ag7oZouf4e4J6uWk8	Moderate	Dinner
Mama Gola Ganda & DHORAJI DARBAR Food Points	Restaurant	Karachi	https://maps.app.goo.gl/RAV1Eo6k3TrXdtq6A	Low	Dinner / Snacks
Silver Spoon Snacks	Restaurant	Karachi	https://maps.app.goo.gl/mftMPPwYgcd12xdu6	Low	MainMeals
Sajjad Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/haW83bPVjxvMQYYi6	Moderate	Dinner
Clock Tower - The Food Bazaar	Restaurant	Karachi	https://maps.app.goo.gl/iCGxw77R45qiAxCU6	High	Dinner 
HASEEB	Restaurant	Karachi	https://maps.app.goo.gl/XfyxGkt8MSEvV8tv8	Low	FullDay
Charcoal BBQ n Grill Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/Qj1NBErnuCW8Jmct6	High	Dinner
Nawab's Dynasty Restaurant	Restaurant	Karachi	https://maps.app.goo.gl/mjZ1mt2jjWQNGeiKA	Moderate	MainMeals
Elegant Guest House Karachi	Hotel	Karachi	https://maps.app.goo.gl/4qbtxHJDZ4ypimBq6	Moderate	All-day
Stay Inn Guest House Karachi	Hotel	Karachi	https://maps.app.goo.gl/iCpqB3SQNrMztD1D7	Low	All-day
Karachi Inn Guest House	Hotel	Karachi	https://maps.app.goo.gl/jN9f4v37YYcTXkeFA	Moderate	All-day
Luxury Palace Guest House Karachi	Hotel	Karachi	https://maps.app.goo.gl/XJvkFLoEDpByEBRe9	Moderate	All-day
The Karachi Guest House	Hotel	Karachi	https://maps.app.goo.gl/SmwSnajMZhvGnvJ49	Moderate	All-day
Diplomat Inn Hotel	Hotel	Karachi	https://maps.app.goo.gl/h9Ct9n9DL3badFbm7	Low	All-day
Palace Inn Guest House Karachi	Hotel	Karachi	https://maps.app.goo.gl/Mqd4yYjH9UJPRLRPA	Low	All-day
Hotel M Winner Inn Karachi	Hotel	Karachi	https://maps.app.goo.gl/Jm958T5E1RSyUJDf9	Moderate	All-day
Subhan Palace Guest House	Hotel	Karachi	https://maps.app.goo.gl/zCsaZ1fTjkPhatMFA	Low	All-day
Galaxy Inn Guest House	Hotel	Karachi	https://maps.app.goo.gl/6nGcsQj75a5fFS3v8	Moderate	All-day
Sunset Guesthouse	Hotel	Karachi	https://maps.app.goo.gl/j8HLHPvNHcYQiMUL7	High	All-day
Star Guest House	Hotel	Karachi	https://maps.app.goo.gl/rtKsRdEiVMpEnq238	Moderate	All-day
Sapphire Guest House	Hotel	Karachi	https://maps.app.goo.gl/aUSvAn3XTC5pxjgD7	Moderate	All-day
Asaish Inn I Guest House	Hotel	Karachi	https://maps.app.goo.gl/F4gKgU81qU9AgxJ77	Moderate	All-day
Rehaish Inn Guest House	Hotel	Karachi	https://maps.app.goo.gl/49eHKSSuynngCUpV8	Moderate	All-day
Jilani Guest House	Hotel	Karachi	https://maps.app.goo.gl/pAEztXZXEVhFJM1s9	Moderate	All-day
Karachi Guest House	Hotel	Karachi	https://maps.app.goo.gl/pMyozpaVusM5FKMW9	Low	All-day
White Fort Guest House	Hotel	Karachi	https://maps.app.goo.gl/9din8riENBx8gNeG8	Low	All-day
New Era Guesthouse.	Hotel	Karachi	https://maps.app.goo.gl/zmAByBsmfnGiEWbR6	High	All-day
Guest House in Couple karachi	Hotel	Karachi	https://maps.app.goo.gl/datUmJbsQHFv8X127	Low	All-day
Roomi Rezidor Guest House	Hotel	Karachi	https://maps.app.goo.gl/ZDsCycCuAEab6VcPA	Moderate	All-day
Executive Inn Guest House	Hotel	Karachi	https://maps.app.goo.gl/x6X5SQEAS1MvYQD46	Moderate	All-day
Royal Haven Guest House	Hotel	Karachi	https://maps.app.goo.gl/YQc5KCVjszV4UK2v7	High	All-day
